"time","data_type_code","geo_level_code","cell_value"
"2016-Q3","FORSALE","WE",59
"2016-Q4","FORSALE","WE",62.3333333333333
"2017-Q1","FORSALE","WE",63
"2017-Q2","FORSALE","WE",64
"2017-Q3","FORSALE","WE",68.6666666666667
"2017-Q4","FORSALE","WE",73.6666666666667
"2018-Q1","FORSALE","WE",74.6666666666667
"2018-Q2","FORSALE","WE",78.3333333333333
"2018-Q3","FORSALE","WE",85.3333333333333
"2018-Q4","FORSALE","WE",92
"2019-Q1","FORSALE","WE",89.3333333333333
"2019-Q2","FORSALE","WE",84
"2019-Q3","FORSALE","WE",86.3333333333333
"2019-Q4","FORSALE","WE",87
"2020-Q1","FORSALE","WE",84.6666666666667
"2020-Q2","FORSALE","WE",78.6666666666667
"2020-Q3","FORSALE","WE",73
"2020-Q4","FORSALE","WE",72.6666666666667
"2021-Q1","FORSALE","WE",76.3333333333333
"2021-Q2","FORSALE","WE",85.3333333333333
"2021-Q3","FORSALE","WE",90.5
"2014-Q1","SOLD","WE",8.33333333333333
"2014-Q2","SOLD","WE",10
"2014-Q3","SOLD","WE",9
"2014-Q4","SOLD","WE",8.66666666666667
"2015-Q1","SOLD","WE",12
"2015-Q2","SOLD","WE",12
"2015-Q3","SOLD","WE",9.33333333333333
"2015-Q4","SOLD","WE",9.33333333333333
"2016-Q1","SOLD","WE",12
"2016-Q2","SOLD","WE",13.3333333333333
"2016-Q3","SOLD","WE",11.3333333333333
"2016-Q4","SOLD","WE",11
"2017-Q1","SOLD","WE",14
"2017-Q2","SOLD","WE",15.3333333333333
"2017-Q3","SOLD","WE",11.6666666666667
"2017-Q4","SOLD","WE",13
"2018-Q1","SOLD","WE",15.6666666666667
"2018-Q2","SOLD","WE",15
"2018-Q3","SOLD","WE",13
"2018-Q4","SOLD","WE",10.3333333333333
"2019-Q1","SOLD","WE",16.3333333333333
"2019-Q2","SOLD","WE",16.6666666666667
"2019-Q3","SOLD","WE",13.6666666666667
"2019-Q4","SOLD","WE",14
"2020-Q1","SOLD","WE",17.6666666666667
"2020-Q2","SOLD","WE",16.6666666666667
"2020-Q3","SOLD","WE",20.6666666666667
"2020-Q4","SOLD","WE",17.3333333333333
"2021-Q1","SOLD","WE",18
"2021-Q2","SOLD","WE",17
"2021-Q3","SOLD","WE",18
