,RegionID,RegionName,StateName,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,average
20,394358,"Baltimore, MD",MD,276222.0,280000.0,289990.0,295000.0,304600.0,314900.0,324000.0,307495.0,310000.0,310000.0,301000.0,305000.0,289900.0,290000.0,304700.0,315000.0,306000.0,310000.0,315000.0,320000.0,322000.0,318000.0,320000.0,305000.0,304900.0,300000.0,302500.0,305000.0,330000.0,340000.0,310018.22580645164
21,394530,"Denver, CO",CO,405993.0,409000.0,420000.0,425000.0,434000.0,430000.0,435000.0,430000.0,425000.0,430000.0,427892.0,425000.0,428585.0,435000.0,449700.0,445000.0,447000.0,447925.0,460000.0,460000.0,459000.0,472500.0,465000.0,459000.0,460000.0,475000.0,505000.0,525500.0,540000.0,550000.0,450826.6129032258
22,394982,"Pittsburgh, PA",PA,159200.0,160000.0,168714.0,170000.0,177250.0,190000.0,185000.0,189000.0,175000.0,174000.0,176500.0,175000.0,160000.0,165000.0,175000.0,190000.0,189900.0,190000.0,197500.0,199900.0,195350.0,189950.0,185000.0,183500.0,178000.0,190000.0,202625.0,195000.0,213000.0,225000.0,190947.4516129032
23,394998,"Portland, OR",OR,380000.0,392800.0,390000.0,395000.0,410000.0,405000.0,404995.0,405000.0,399000.0,400000.0,409900.0,400000.0,402000.0,405000.0,418900.0,415000.0,415000.0,425000.0,434000.0,440000.0,440000.0,446000.0,440000.0,439900.0,442000.0,455570.0,470000.0,480000.0,500000.0,505900.0,424547.1935483871
24,394458,"Charlotte, NC",NC,241000.0,249900.0,257500.0,260000.0,270000.0,275000.0,272000.0,267500.0,269990.0,263500.0,265000.0,275000.0,260000.0,267250.0,281064.0,283000.0,272000.0,288000.0,292000.0,299000.0,295000.0,299000.0,298000.0,292360.0,290000.0,291416.0,310000.0,317230.0,334320.0,340000.0,286144.7741935484
25,395045,"Sacramento, CA",CA,390000.0,405000.0,410000.0,420000.0,425000.0,430000.0,427000.0,425500.0,420000.0,415000.0,424500.0,425000.0,420000.0,429000.0,437000.0,435000.0,433000.0,447500.0,462000.0,465000.0,470000.0,475000.0,465500.0,465000.0,460000.0,480500.0,510000.0,515000.0,540000.0,555000.0,447630.48387096776
26,395055,"San Antonio, TX",TX,215000.0,220000.0,225000.0,224950.0,235401.0,238500.0,235000.0,235000.0,231500.0,233000.0,229750.0,235000.0,225000.0,232000.0,235000.0,239000.0,243000.0,248000.0,255000.0,253990.0,255000.0,255000.0,256000.0,259150.0,253200.0,259900.0,260000.0,271971.0,280000.0,287625.0,249096.51612903227
27,394943,"Orlando, FL",FL,257995.0,260000.0,260650.0,258933.0,265000.0,274900.0,270000.0,272000.0,270000.0,269500.0,270000.0,283000.0,271990.0,270000.0,270000.0,275000.0,276305.0,276005.0,280000.0,285000.0,280000.0,280000.0,288900.0,286000.0,282550.0,292000.0,299500.0,300000.0,310000.0,321000.0,282295.8387096774
28,394466,"Cincinnati, OH",OH,165000.0,172000.0,179000.0,182000.0,191825.0,195000.0,194500.0,189900.0,190000.0,183000.0,189950.0,192688.0,178000.0,187900.0,198680.0,200000.0,193810.0,209000.0,210000.0,215000.0,208000.0,210000.0,213000.0,205000.0,193000.0,199025.0,210000.0,220000.0,225000.0,250000.0,204669.16129032255
29,394475,"Cleveland, OH",OH,140000.0,134950.0,144980.0,144750.0,157500.0,165000.0,162000.0,160000.0,154000.0,151000.0,150000.0,149900.0,150000.0,150000.0,159000.0,165000.0,165000.0,169900.0,174000.0,175000.0,174000.0,174900.0,168850.0,171000.0,160000.0,161400.0,167825.0,172000.0,180000.0,200000.0,169239.67741935485
