"cell_value","category_code","geo_level_code","data_type_code","time","Quarter"
61,"FORSALE","US","NOTSTD","1991-03","1991-Q1"
6.7,"FORSALE","US","MMTHS","1991-03","1991-Q1"
5.9,"FORSALE","US","MONSUP","1991-03","1991-Q1"
111,"FORSALE","US","COMPED","1991-03","1991-Q1"
304,"FORSALE","US","TOTAL","1991-03","1991-Q1"
132,"FORSALE","US","UNDERC","1991-03","1991-Q1"
7.3,"FORSALE","US","MONSUP","1991-03","1991-Q1"
308,"FORSALE","US","TOTAL","1991-03","1991-Q1"
17,"SOLD","US","UNDERC","1991-03","1991-Q1"
156400,"SOLD","US","AVERAG","1991-03","1991-Q1"
17,"SOLD","US","COMPED","1991-03","1991-Q1"
122500,"SOLD","US","MEDIAN","1991-03","1991-Q1"
51,"SOLD","US","TOTAL","1991-03","1991-Q1"
17,"SOLD","US","NOTSTD","1991-03","1991-Q1"
146,"ASOLD","WE","TOTAL","1991-03","1991-Q1"
90,"FORSALE","WE","TOTAL","1991-03","1991-Q1"
15,"SOLD","WE","TOTAL","1991-03","1991-Q1"
89,"ASOLD","MW","TOTAL","1991-04","1991-Q2"
40,"FORSALE","MW","TOTAL","1991-04","1991-Q2"
10,"SOLD","MW","TOTAL","1991-04","1991-Q2"
60,"ASOLD","NE","TOTAL","1991-04","1991-Q2"
71,"FORSALE","NE","TOTAL","1991-04","1991-Q2"
5,"SOLD","NE","TOTAL","1991-04","1991-Q2"
223,"ASOLD","SO","TOTAL","1991-04","1991-Q2"
99,"FORSALE","SO","TOTAL","1991-04","1991-Q2"
22,"SOLD","SO","TOTAL","1991-04","1991-Q2"
508,"ASOLD","US","TOTAL","1991-04","1991-Q2"
61,"FORSALE","US","NOTSTD","1991-04","1991-Q2"
7.3,"FORSALE","US","MMTHS","1991-04","1991-Q2"
6,"FORSALE","US","MONSUP","1991-04","1991-Q2"
106,"FORSALE","US","COMPED","1991-04","1991-Q2"
301,"FORSALE","US","TOTAL","1991-04","1991-Q2"
134,"FORSALE","US","UNDERC","1991-04","1991-Q2"
7.3,"FORSALE","US","MONSUP","1991-04","1991-Q2"
