region,state,2018,2019,2020,label,type,USregion
"Worcester, MA",MA,263870.8333333333,275079.1666666667,306495.8333333333,all,sales,Northeast
"Stamford, CT",CT,403656.6666666667,394087.5,452116.6666666667,all,sales,Northeast
"Albuquerque, NM",NM,197825.75,214877.25,237983.33333333334,all,sales,Southwest
"Albany, NY",NY,192312.5,197876.33333333334,212709.25,all,sales,Northeast
"Omaha, NE",NE,187745.83333333334,198354.16666666666,214662.5,all,sales,Midwest
"New Haven, CT",CT,222102.75,224443.75,242279.16666666666,all,sales,Northeast
"Bakersfield, CA",CA,232791.66666666666,246031.25,264041.6666666667,all,sales,West
"Knoxville, TN",TN,191099,207722.66666666666,229529.58333333334,all,sales,Southeast
"Greenville, SC",SC,197822.25,212535.66666666666,227474.83333333334,all,sales,Southeast
"Ventura, CA",CA,594270.8333333334,593937.5,643375,all,sales,West
"Allentown, PA",PA,191465,200018.58333333334,220995.83333333334,all,sales,Northeast
"El Paso, TX",TX,155490.08333333334,163297.91666666666,175208.75,all,sales,Southwest
"Baton Rouge, LA",LA,201548.58333333334,208641.91666666666,217797.16666666666,all,sales,Southeast
"Dayton, OH",OH,137270.83333333334,141991.66666666666,156887.5,all,sales,Midwest
"Columbia, SC",SC,173038.75,183685.75,195747.33333333334,all,sales,Southeast
"Greensboro, NC",NC,157333.33333333334,164783.33333333334,180582.08333333334,all,sales,Southeast
"Akron, OH",OH,140956.08333333334,150256.25,162276.58333333334,all,sales,Midwest
"North Port-Sarasota-Bradenton, FL",FL,271420,280924.0833333333,294675.8333333333,all,sales,Southeast
"Little Rock, AR",AR,162418.75,167399.58333333334,180714.16666666666,all,sales,Southeast
"Stockton, CA",CA,384062.5,402395.8333333333,427104.1666666667,all,sales,West
"Charleston, SC",SC,272669.25,283038.5833333333,303611.3333333333,all,sales,Southeast
"Syracuse, NY",NY,137722.25,145247,157893.66666666666,all,sales,Northeast
"Colorado Springs, CO",CO,306485.4166666667,323909.3333333333,362030.25,all,sales,West
"Winston-Salem, NC",NC,160645.83333333334,173083.33333333334,191020.83333333334,all,sales,Southeast
"Wichita, KS",KS,146245.83333333334,155210.41666666666,168587.5,all,sales,Midwest
"Springfield, MA",MA,213500,219517.75,237275,all,sales,Northeast
"Fort Myers, FL",FL,230279.16666666666,236248.66666666666,247964.58333333334,all,sales,Southeast
"Boise City, ID",ID,272640.5833333333,298491.25,349446.5,all,sales,West
"Toledo, OH",OH,120758.33333333333,128479.16666666667,138339.58333333334,all,sales,Midwest
"Madison, WI",WI,258995.83333333334,269542.6666666667,290250,all,sales,Midwest
"Lakeland, FL",FL,191854.41666666666,207752.08333333334,220000.25,all,sales,Southeast
"Ogden, UT",UT,264139.5833333333,286545.8333333333,324980.25,all,sales,West
"Daytona Beach, FL",FL,206324.41666666666,222879,237624.66666666666,all,sales,Southeast
"Des Moines, IA",IA,202283.33333333334,213552.08333333334,226975,all,sales,Midwest
"Jackson, MS",MS,182315,187604.83333333334,210212.5,all,sales,Southeast
"Augusta, GA",GA,175087,183880.83333333334,202707.91666666666,all,sales,Southeast
"Harrisburg, PA",PA,177425,187745.83333333334,201758.33333333334,all,sales,Northeast
"Provo, UT",UT,300957.3333333333,322662.0833333333,357954.5833333333,all,sales,West
