"cell_value","geo_level_code","data_type_code","time"
1938,"WE","YRVAC","2002-Q1"
883,"MW","SEASON","2002-Q2"
3156,"MW","VACANT","2002-Q2"
723,"MW","RENT","2002-Q2"
235,"MW","RNTSLD","2002-Q2"
175,"MW","OCCUSE","2002-Q2"
17827,"MW","OWNOCC","2002-Q2"
219,"MW","URE","2002-Q2"
6646,"MW","RNTOCC","2002-Q2"
2272,"MW","YRVAC","2002-Q2"
326,"MW","SALE","2002-Q2"
595,"MW","OTH","2002-Q2"
24473,"MW","OCC","2002-Q2"
27628,"MW","TOTAL","2002-Q2"
989,"MW","OFFMAR","2002-Q2"
171,"NE","RNTSLD","2002-Q2"
826,"NE","SEASON","2002-Q2"
12777,"NE","OWNOCC","2002-Q2"
198,"NE","URE","2002-Q2"
261,"NE","OCCUSE","2002-Q2"
7250,"NE","RNTOCC","2002-Q2"
1660,"NE","YRVAC","2002-Q2"
187,"NE","SALE","2002-Q2"
411,"NE","OTH","2002-Q2"
20027,"NE","OCC","2002-Q2"
22513,"NE","TOTAL","2002-Q2"
870,"NE","OFFMAR","2002-Q2"
2486,"NE","VACANT","2002-Q2"
431,"NE","RENT","2002-Q2"
2576,"SO","OFFMAR","2002-Q2"
6067,"SO","VACANT","2002-Q2"
342,"SO","RNTSLD","2002-Q2"
1406,"SO","RENT","2002-Q2"
1237,"SO","SEASON","2002-Q2"
945,"SO","OCCUSE","2002-Q2"
26328,"SO","OWNOCC","2002-Q2"
385,"SO","URE","2002-Q2"
4830,"SO","YRVAC","2002-Q2"
11664,"SO","RNTOCC","2002-Q2"
507,"SO","SALE","2002-Q2"
1245,"SO","OTH","2002-Q2"
37992,"SO","OCC","2002-Q2"
44059,"SO","TOTAL","2002-Q2"
3548,"US","SEASON","2002-Q2"
71157,"US","OWNOCC","2002-Q2"
1772,"US","OCCUSE","2002-Q2"
957,"US","URE","2002-Q2"
34119,"US","RNTOCC","2002-Q2"
10659,"US","YRVAC","2002-Q2"
1229,"US","SALE","2002-Q2"
2618,"US","OTH","2002-Q2"
105276,"US","OCC","2002-Q2"
119483,"US","TOTAL","2002-Q2"
5347,"US","OFFMAR","2002-Q2"
14207,"US","VACANT","2002-Q2"
3176,"US","RENT","2002-Q2"
907,"US","RNTSLD","2002-Q2"
367,"WE","OTH","2002-Q2"
22784,"WE","OCC","2002-Q2"
25282,"WE","TOTAL","2002-Q2"
912,"WE","OFFMAR","2002-Q2"
2498,"WE","VACANT","2002-Q2"
617,"WE","RENT","2002-Q2"
159,"WE","RNTSLD","2002-Q2"
602,"WE","SEASON","2002-Q2"
391,"WE","OCCUSE","2002-Q2"
155,"WE","URE","2002-Q2"
14225,"WE","OWNOCC","2002-Q2"
8559,"WE","RNTOCC","2002-Q2"
1897,"WE","YRVAC","2002-Q2"
209,"WE","SALE","2002-Q2"
180,"MW","OCCUSE","2002-Q3"
769,"MW","RENT","2002-Q3"
259,"MW","RNTSLD","2002-Q3"
835,"MW","SEASON","2002-Q3"
18012,"MW","OWNOCC","2002-Q3"
171,"MW","URE","2002-Q3"
6594,"MW","RNTOCC","2002-Q3"
2268,"MW","YRVAC","2002-Q3"
311,"MW","SALE","2002-Q3"
578,"MW","OTH","2002-Q3"
24606,"MW","OCC","2002-Q3"
27709,"MW","TOTAL","2002-Q3"
930,"MW","OFFMAR","2002-Q3"
3103,"MW","VACANT","2002-Q3"
139,"NE","RNTSLD","2002-Q3"
818,"NE","SEASON","2002-Q3"
12977,"NE","OWNOCC","2002-Q3"
263,"NE","OCCUSE","2002-Q3"
208,"NE","URE","2002-Q3"
7121,"NE","RNTOCC","2002-Q3"
1636,"NE","YRVAC","2002-Q3"
158,"NE","SALE","2002-Q3"
407,"NE","OTH","2002-Q3"
20098,"NE","OCC","2002-Q3"
877,"NE","OFFMAR","2002-Q3"
22552,"NE","TOTAL","2002-Q3"
2454,"NE","VACANT","2002-Q3"
461,"NE","RENT","2002-Q3"
6362,"SO","VACANT","2002-Q3"
1510,"SO","RENT","2002-Q3"
314,"SO","RNTSLD","2002-Q3"
1351,"SO","SEASON","2002-Q3"
974,"SO","OCCUSE","2002-Q3"
26346,"SO","OWNOCC","2002-Q3"
478,"SO","URE","2002-Q3"
5011,"SO","YRVAC","2002-Q3"
11548,"SO","RNTOCC","2002-Q3"
511,"SO","SALE","2002-Q3"
1224,"SO","OTH","2002-Q3"
44255,"SO","TOTAL","2002-Q3"
37893,"SO","OCC","2002-Q3"
2676,"SO","OFFMAR","2002-Q3"
71713,"US","OWNOCC","2002-Q3"
971,"US","URE","2002-Q3"
1793,"US","OCCUSE","2002-Q3"
33813,"US","RNTOCC","2002-Q3"
10747,"US","YRVAC","2002-Q3"
1218,"US","SALE","2002-Q3"
2501,"US","OTH","2002-Q3"
105527,"US","OCC","2002-Q3"
119909,"US","TOTAL","2002-Q3"
5265,"US","OFFMAR","2002-Q3"
14383,"US","VACANT","2002-Q3"
3375,"US","RENT","2002-Q3"
889,"US","RNTSLD","2002-Q3"
3635,"US","SEASON","2002-Q3"
22930,"WE","OCC","2002-Q3"
25393,"WE","TOTAL","2002-Q3"
783,"WE","OFFMAR","2002-Q3"
2463,"WE","VACANT","2002-Q3"
634,"WE","RENT","2002-Q3"
177,"WE","RNTSLD","2002-Q3"
631,"WE","SEASON","2002-Q3"
376,"WE","OCCUSE","2002-Q3"
115,"WE","URE","2002-Q3"
14379,"WE","OWNOCC","2002-Q3"
8551,"WE","RNTOCC","2002-Q3"
1832,"WE","YRVAC","2002-Q3"
238,"WE","SALE","2002-Q3"
292,"WE","OTH","2002-Q3"
6568,"MW","RNTOCC","2002-Q4"
